Type	Shape	Chr	Start	End	color
tRNA	circle	chr16	310975	311048	6a3d9a
tRNA	circle	chr16	551800	551872	6a3d9a
tRNA	circle	chr16	841423	841499	6a3d9a
tRNA	circle	chr16	638616	638545	6a3d9a
rRNA	box	chr08	267037	267131	33a02c
rRNA	box	chr14	1	2048	33a02c
rRNA	box	chr15	1285826	1285938	33a02c
rRNA	box	chr15	1286693	1289842	33a02c
rRNA	box	chr15	1292143	1293939	33a02c
rRNA	box	chr15	1294092	1297747	33a02c
rRNA	box	chr15	1294099	1294250	33a02c
rRNA	box	chr15	1300048	1301840	33a02c
rRNA	box	chr15	1302105	1305885	33a02c
rRNA	box	chr15	1302110	1302261	33a02c
rRNA	box	chr15	1308186	1309979	33a02c
rRNA	box	chr15	1310133	1311672	33a02c
rRNA	box	chr15	1310139	1310290	33a02c
miRNA	triangle	chr01	5060339	5060452	ff7f00
miRNA	triangle	chr02	105164	105318	ff7f00
miRNA	triangle	chr02	2225783	2225889	ff7f00
miRNA	triangle	chr02	4615808	4616023	ff7f00
miRNA	triangle	chr03	484167	484242	ff7f00
miRNA	triangle	chr03	563839	563912	ff7f00
miRNA	triangle	chr03	935912	936007	ff7f00
miRNA	triangle	chr03	2389537	2389679	ff7f00
miRNA	triangle	chr04	1417647	1417739	ff7f00
miRNA	triangle	chr04	1922480	1922556	ff7f00
miRNA	triangle	chr04	3593346	3593461	ff7f00
miRNA	triangle	chr04	3815980	3816089	ff7f00
miRNA	triangle	chr06	616520	616601	ff7f00
miRNA	triangle	chr08	461873	462010	ff7f00
miRNA	triangle	chr07	2690515	2690620	ff7f00
miRNA	triangle	chr09	481307	481435	ff7f00
miRNA	triangle	chr09	1948583	1948767	ff7f00
miRNA	triangle	chr09	2335570	2335658	ff7f00
miRNA	triangle	chr09	2913619	2913731	ff7f00
miRNA	triangle	chr11	1945806	1946029	ff7f00
miRNA	triangle	chr10	2047240	2047353	ff7f00
miRNA	triangle	chr10	2094399	2094536	ff7f00
miRNA	triangle	chr12	2176868	2177171	ff7f00
miRNA	triangle	chr13	938607	938721	ff7f00
miRNA	triangle	chr14	712733	712824	ff7f00
miRNA	triangle	chr14	1422880	1422984	ff7f00
miRNA	triangle	chr14	1679381	1679452	ff7f00
miRNA	triangle	chr14	1727787	1727887	ff7f00
miRNA	triangle	chr15	335356	335417	ff7f00
miRNA	triangle	chr15	572757	572834	ff7f00
miRNA	triangle	chr16	1045112	1045232	ff7f00
snRNA	box	chr01	2909469	2909632	66ff00
snRNA	box	chr01	4784367	4784469	66ff00
snRNA	box	chr01	6987153	6987374	66ff00
snRNA	box	chr02	1028233	1028323	66ff00
snRNA	box	chr02	3794082	3794203	66ff00
snRNA	box	chr03	1374724	1374821	66ff00
snRNA	box	chr03	1377040	1377137	66ff00
snRNA	box	chr03	1801088	1801187	66ff00
snRNA	box	chr03	2538200	2538303	66ff00
snRNA	box	chr03	3516762	3516843	66ff00
snRNA	box	chr04	873200	873324	66ff00
snRNA	box	chr04	875569	875669	66ff00
snRNA	box	chr05	521193	521289	66ff00
snRNA	box	chr05	2037189	2037301	66ff00
snRNA	box	chr05	2189685	2189852	66ff00
snRNA	box	chr05	3117358	3117630	66ff00
snRNA	box	chr06	2175829	2175917	66ff00
snRNA	box	chr06	2417152	2417345	66ff00
snRNA	box	chr06	2527809	2528002	66ff00
snRNA	box	chr06	2770561	2770754	66ff00
snRNA	box	chr06	3062725	3062849	66ff00
snRNA	box	chr08	1408521	1408624	66ff00
snRNA	box	chr08	1565131	1565219	66ff00
snRNA	box	chr08	1566001	1566085	66ff00
snRNA	box	chr08	1566212	1566305	66ff00
snRNA	box	chr08	1568436	1568532	66ff00
snRNA	box	chr08	1571960	1572104	66ff00
snRNA	box	chr08	1619093	1619158	66ff00
snRNA	box	chr08	1715359	1715470	66ff00
snRNA	box	chr08	2071637	2071831	66ff00
snRNA	box	chr07	819349	819512	66ff00
snRNA	box	chr09	799887	799997	66ff00
snRNA	box	chr11	2076002	2076199	66ff00
snRNA	box	chr12	540887	540988	66ff00
snRNA	box	chr13	1925591	1925673	66ff00
snRNA	box	chr14	441711	441874	66ff00
snRNA	box	chr14	586744	586835	66ff00
snRNA	box	chr14	590813	590904	66ff00
snRNA	box	chr14	590971	591062	66ff00
snRNA	box	chr15	647766	647906	66ff00
snRNA	box	chr15	726611	726710	66ff00
snRNA	box	chr15	727081	727180	66ff00
snRNA	box	chr15	1183639	1183735	66ff00
snRNA	box	chr15	1184188	1184284	66ff00
snRNA	box	chr16	705971	706074	66ff00
snRNA	box	sca23	12773	12994	66ff00
